Entity,Code,Year,Crops - Oil palm fruit - 254 - Area harvested - 5312 - ha
Cameroon,CMR,1988,45000
Cameroon,CMR,1989,55000
Cameroon,CMR,1990,55000
Cameroon,CMR,1991,52000
Cameroon,CMR,1992,52500
Cameroon,CMR,1993,48000
Cameroon,CMR,1994,49000
Cameroon,CMR,1995,50000
Cameroon,CMR,1996,51000
Cameroon,CMR,1997,52000
Cameroon,CMR,1998,52000
Cameroon,CMR,1999,55000
Cameroon,CMR,2000,56075
Cameroon,CMR,2001,55000
Cameroon,CMR,2002,56000
Cameroon,CMR,2003,57000
Cameroon,CMR,2004,57000
Cameroon,CMR,2005,70000
Cameroon,CMR,2006,72000
Cameroon,CMR,2007,72857
Cameroon,CMR,2008,78202
Cameroon,CMR,2009,102109
Cameroon,CMR,2010,112430
Cameroon,CMR,2011,121770
Cameroon,CMR,2012,128000
Cameroon,CMR,2013,135000
Cameroon,CMR,2014,134943
Cameroon,CMR,2015,148298
Cameroon,CMR,2016,138993
Cameroon,CMR,2017,142162
Cameroon,CMR,2018,145970
Caribbean,,1989,1000
Caribbean,,1990,3000
Caribbean,,1991,5000
Caribbean,,1992,6000
Caribbean,,1993,8000
Caribbean,,1994,9000
Caribbean,,1995,9000
Caribbean,,1996,9000
Caribbean,,1997,8935
Caribbean,,1998,11747
Caribbean,,1999,12553
Caribbean,,2000,13527
Caribbean,,2001,14507
Caribbean,,2002,15492
Caribbean,,2003,16481
Caribbean,,2004,17475
Caribbean,,2005,18475
Caribbean,,2006,19480
Caribbean,,2007,20490
Caribbean,,2008,21506
Caribbean,,2009,22526
Caribbean,,2010,23551
Caribbean,,2011,24582
Caribbean,,2012,25618
Caribbean,,2013,26660
Caribbean,,2014,27570
Caribbean,,2015,28528
Caribbean,,2016,29445
Caribbean,,2017,30434
Caribbean,,2018,31446
Central African Republic,CAF,1961,2800
Central African Republic,CAF,1962,2800
Central African Republic,CAF,1963,2800
Central African Republic,CAF,1964,2800
Central African Republic,CAF,1965,2800
Central African Republic,CAF,1966,4500
Central African Republic,CAF,1967,4500
Central African Republic,CAF,1968,4500
Central African Republic,CAF,1969,6500
Central African Republic,CAF,1970,6500
Central African Republic,CAF,1971,6500
Central African Republic,CAF,1972,8500
Central African Republic,CAF,1973,8500
Central African Republic,CAF,1974,8500
Central African Republic,CAF,1975,11000
Central African Republic,CAF,1976,11000
Central African Republic,CAF,1977,9200
Central African Republic,CAF,1978,8000
Central African Republic,CAF,1979,8000
Central African Republic,CAF,1980,8000
Central African Republic,CAF,1981,8000
Central African Republic,CAF,1982,8000
Central African Republic,CAF,1983,8000
Central African Republic,CAF,1984,8000
Central African Republic,CAF,1985,8000
Central African Republic,CAF,1986,8000
Central African Republic,CAF,1987,8000
Central African Republic,CAF,1988,8000
Central African Republic,CAF,1989,8000
Central African Republic,CAF,1990,8000
Central African Republic,CAF,1991,8000
Central African Republic,CAF,1992,7000
Central African Republic,CAF,1993,5700
Central African Republic,CAF,1994,5700
Central African Republic,CAF,1995,4500
Central African Republic,CAF,1996,4500
Central African Republic,CAF,1997,4500
Central African Republic,CAF,1998,4500
Central African Republic,CAF,1999,4500
Central African Republic,CAF,2000,4000
Central African Republic,CAF,2001,4000
Central African Republic,CAF,2002,4000
Central African Republic,CAF,2003,3700
Central African Republic,CAF,2004,3700
Central African Republic,CAF,2005,3500
Central African Republic,CAF,2006,3000
Central African Republic,CAF,2007,2500
Central African Republic,CAF,2008,1900
Central African Republic,CAF,2009,1220
Central African Republic,CAF,2010,625
Central African Republic,CAF,2011,630
Central African Republic,CAF,2012,630
Central African Republic,CAF,2013,650
Central African Republic,CAF,2014,653
Central African Republic,CAF,2015,650
Central African Republic,CAF,2016,660
Central African Republic,CAF,2017,650
Central African Republic,CAF,2018,639
Central America,,1961,22910
Central America,,1962,26112
Central America,,1963,24952
Central America,,1964,26120
Central America,,1965,26080
Central America,,1966,26265
Central America,,1967,24320
Central America,,1968,27719
Central America,,1969,25622
Central America,,1970,21986
Central America,,1971,20283
Central America,,1972,22706
Central America,,1973,28107
Central America,,1974,29017
Central America,,1975,24708
Central America,,1976,29486
Central America,,1977,28998
Central America,,1978,31266
Central America,,1979,35477
Central America,,1980,35447
Central America,,1981,36834
Central America,,1982,36786
Central America,,1983,41018
Central America,,1984,40154
Central America,,1985,41913
Central America,,1986,45272
Central America,,1987,44735
Central America,,1988,47555
Central America,,1989,50388
Central America,,1990,57197
Central America,,1991,61575
Central America,,1992,65383
Central America,,1993,60811
Central America,,1994,71602
Central America,,1995,76266
Central America,,1996,77987
Central America,,1997,81784
Central America,,1998,88355
Central America,,1999,103003
Central America,,2000,111390
Central America,,2001,133590
Central America,,2002,144180
Central America,,2003,150758
Central America,,2004,168336
Central America,,2005,179701
Central America,,2006,204739
Central America,,2007,216760
Central America,,2008,230818
Central America,,2009,245889
Central America,,2010,263354
Central America,,2011,281851
Central America,,2012,314049
Central America,,2013,361006
Central America,,2014,388938
Central America,,2015,433917
Central America,,2016,466769
Central America,,2017,503152
Central America,,2018,526417
China,CHN,1985,55000
China,CHN,1986,53000
China,CHN,1987,50500
China,CHN,1988,50500
China,CHN,1989,47000
China,CHN,1990,43000
China,CHN,1991,41000
China,CHN,1992,41000
China,CHN,1993,41000
China,CHN,1994,41000
China,CHN,1995,41000
China,CHN,1996,42000
China,CHN,1997,42000
China,CHN,1998,43000
China,CHN,1999,43000
China,CHN,2000,45000
China,CHN,2001,47000
China,CHN,2002,47000
China,CHN,2003,47000
China,CHN,2004,47000
China,CHN,2005,47000
China,CHN,2006,45000
China,CHN,2007,48000
China,CHN,2008,48000
China,CHN,2009,50000
China,CHN,2010,47000
China,CHN,2011,48000
China,CHN,2012,49000
China,CHN,2013,50000
China,CHN,2014,50807
China,CHN,2015,50425
China,CHN,2016,51063
China,CHN,2017,51560
China,CHN,2018,52018
Colombia,COL,1961,800
Colombia,COL,1962,1100
Colombia,COL,1963,1250
Colombia,COL,1964,1350
Colombia,COL,1965,1500
Colombia,COL,1966,1650
Colombia,COL,1967,5600
Colombia,COL,1968,10000
Colombia,COL,1969,10000
Colombia,COL,1970,11500
Colombia,COL,1971,13800
Colombia,COL,1972,15000
Colombia,COL,1973,16500
Colombia,COL,1974,18200
Colombia,COL,1975,15700
Colombia,COL,1976,16000
Colombia,COL,1977,17400
Colombia,COL,1978,19200
Colombia,COL,1979,22600
Colombia,COL,1980,25400
Colombia,COL,1981,27700
Colombia,COL,1982,31600
Colombia,COL,1983,35400
Colombia,COL,1984,38746
Colombia,COL,1985,43840
Colombia,COL,1986,48790
Colombia,COL,1987,51560
Colombia,COL,1988,62870
Colombia,COL,1989,76135
Colombia,COL,1990,89671
Colombia,COL,1991,97604
Colombia,COL,1992,108510
Colombia,COL,1993,113395
Colombia,COL,1994,108040
Colombia,COL,1995,113367
Colombia,COL,1996,117853
Colombia,COL,1997,120192
Colombia,COL,1998,123130
Colombia,COL,1999,128423
Colombia,COL,2000,134772
Colombia,COL,2001,138457
Colombia,COL,2002,145026
Colombia,COL,2003,150399
Colombia,COL,2004,157328
Colombia,COL,2005,169564
Colombia,COL,2006,165000
Colombia,COL,2007,165000
Colombia,COL,2008,165000
Colombia,COL,2009,165000
Colombia,COL,2010,203415
Colombia,COL,2011,231172
Colombia,COL,2012,235014
Colombia,COL,2013,252742
Colombia,COL,2014,274856
Colombia,COL,2015,307565
Colombia,COL,2016,277811
Colombia,COL,2017,284614
Colombia,COL,2018,288545
Congo,COG,1961,10000
Congo,COG,1962,10000
Congo,COG,1963,12000
Congo,COG,1964,9000
Congo,COG,1965,6500
Congo,COG,1966,5000
Congo,COG,1967,5000
Congo,COG,1968,5000
Congo,COG,1969,5500
Congo,COG,1970,5500
Congo,COG,1971,5500
Congo,COG,1972,5500
Congo,COG,1973,5883
Congo,COG,1974,6000
Congo,COG,1975,6000
Congo,COG,1976,6000
Congo,COG,1977,7000
Congo,COG,1978,7000
Congo,COG,1979,7000
Congo,COG,1980,7000
Congo,COG,1981,7000
Congo,COG,1982,7000
Congo,COG,1983,7000
Congo,COG,1984,7000
Congo,COG,1985,7000
Congo,COG,1986,7000
Congo,COG,1987,7000
Congo,COG,1988,7000
Congo,COG,1989,7000
Congo,COG,1990,7000
Congo,COG,1991,7000
Congo,COG,1992,7000
Congo,COG,1993,7000
Congo,COG,1994,7000
Congo,COG,1995,7000
Congo,COG,1996,7200
Congo,COG,1997,7000
Congo,COG,1998,7100
Congo,COG,1999,7200
Congo,COG,2000,7200
Congo,COG,2001,7200
Congo,COG,2002,7200
Congo,COG,2003,7200
Congo,COG,2004,8000
Congo,COG,2005,8400
Congo,COG,2006,10800
Congo,COG,2007,11100
Congo,COG,2008,11150
Congo,COG,2009,11200
Congo,COG,2010,11300
Congo,COG,2011,11300
Congo,COG,2012,11500
Congo,COG,2013,11600
Congo,COG,2014,11627
Congo,COG,2015,11632
Congo,COG,2016,11672
Congo,COG,2017,11712
Congo,COG,2018,11752
Costa Rica,CRI,1961,1500
Costa Rica,CRI,1962,1900
Costa Rica,CRI,1963,3250
Costa Rica,CRI,1964,3250
Costa Rica,CRI,1965,3250
Costa Rica,CRI,1966,3220
Costa Rica,CRI,1967,3350
Costa Rica,CRI,1968,3600
Costa Rica,CRI,1969,4240
Costa Rica,CRI,1970,4600
Costa Rica,CRI,1971,5000
Costa Rica,CRI,1972,5000
Costa Rica,CRI,1973,7900
Costa Rica,CRI,1974,7900
Costa Rica,CRI,1975,7900
Costa Rica,CRI,1976,8100
Costa Rica,CRI,1977,8100
Costa Rica,CRI,1978,9800
Costa Rica,CRI,1979,11200
Costa Rica,CRI,1980,11000
Costa Rica,CRI,1981,12000
Costa Rica,CRI,1982,12300
Costa Rica,CRI,1983,14923
Costa Rica,CRI,1984,13831
Costa Rica,CRI,1985,13816
Costa Rica,CRI,1986,14290
Costa Rica,CRI,1987,16464
Costa Rica,CRI,1988,18657
Costa Rica,CRI,1989,20000
Costa Rica,CRI,1990,23183
Costa Rica,CRI,1991,23891
Costa Rica,CRI,1992,24600
Costa Rica,CRI,1993,26600
Costa Rica,CRI,1994,26652
Costa Rica,CRI,1995,28190
Costa Rica,CRI,1996,27239
Costa Rica,CRI,1997,26586
Costa Rica,CRI,1998,26455
Costa Rica,CRI,1999,37503
Costa Rica,CRI,2000,39790
Costa Rica,CRI,2001,39790
Costa Rica,CRI,2002,42480
Costa Rica,CRI,2003,43200
Costa Rica,CRI,2004,46600
Costa Rica,CRI,2005,50125
Costa Rica,CRI,2006,48406
Costa Rica,CRI,2007,48406
Costa Rica,CRI,2008,52600
Costa Rica,CRI,2009,55000
Costa Rica,CRI,2010,57000
Costa Rica,CRI,2011,60000
Costa Rica,CRI,2012,63500
Costa Rica,CRI,2013,74512
Costa Rica,CRI,2014,77750
Costa Rica,CRI,2015,69426
Costa Rica,CRI,2016,72456
Costa Rica,CRI,2017,76860
Costa Rica,CRI,2018,76910
Cote d'Ivoire,CIV,1961,45000
Cote d'Ivoire,CIV,1962,45000
Cote d'Ivoire,CIV,1963,45000
Cote d'Ivoire,CIV,1964,45000
Cote d'Ivoire,CIV,1965,45000
Cote d'Ivoire,CIV,1966,45000
Cote d'Ivoire,CIV,1967,45000
Cote d'Ivoire,CIV,1968,45000
Cote d'Ivoire,CIV,1969,45000
Cote d'Ivoire,CIV,1970,45000
Cote d'Ivoire,CIV,1971,50000
Cote d'Ivoire,CIV,1972,50810
Cote d'Ivoire,CIV,1973,59855
Cote d'Ivoire,CIV,1974,66502
Cote d'Ivoire,CIV,1975,69287
Cote d'Ivoire,CIV,1976,71693
Cote d'Ivoire,CIV,1977,74057
Cote d'Ivoire,CIV,1978,77362
Cote d'Ivoire,CIV,1979,80023
Cote d'Ivoire,CIV,1980,88134
Cote d'Ivoire,CIV,1981,91151
Cote d'Ivoire,CIV,1982,94626
Cote d'Ivoire,CIV,1983,90852
Cote d'Ivoire,CIV,1984,89601
Cote d'Ivoire,CIV,1985,90438
Cote d'Ivoire,CIV,1986,91033
Cote d'Ivoire,CIV,1987,89372
Cote d'Ivoire,CIV,1988,101885
Cote d'Ivoire,CIV,1989,102623
Cote d'Ivoire,CIV,1990,116202
Cote d'Ivoire,CIV,1991,130000
Cote d'Ivoire,CIV,1992,133965
Cote d'Ivoire,CIV,1993,133693
Cote d'Ivoire,CIV,1994,133706
Cote d'Ivoire,CIV,1995,133641
Cote d'Ivoire,CIV,1996,133000
Cote d'Ivoire,CIV,1997,134000
Cote d'Ivoire,CIV,1998,146500
Cote d'Ivoire,CIV,1999,158282
Cote d'Ivoire,CIV,2000,159000
Cote d'Ivoire,CIV,2001,163565
Cote d'Ivoire,CIV,2002,176297
Cote d'Ivoire,CIV,2003,171779
Cote d'Ivoire,CIV,2004,203031
Cote d'Ivoire,CIV,2005,197156
Cote d'Ivoire,CIV,2006,219233
Cote d'Ivoire,CIV,2007,203006
Cote d'Ivoire,CIV,2008,215000
Cote d'Ivoire,CIV,2009,245000
Cote d'Ivoire,CIV,2010,260000
Cote d'Ivoire,CIV,2011,265000
Cote d'Ivoire,CIV,2012,267000
Cote d'Ivoire,CIV,2013,270000
Cote d'Ivoire,CIV,2014,270000
Cote d'Ivoire,CIV,2015,274000
Cote d'Ivoire,CIV,2016,319201
Cote d'Ivoire,CIV,2017,353256
Cote d'Ivoire,CIV,2018,339459
Democratic Republic of Congo,COD,1961,229000
Democratic Republic of Congo,COD,1962,221000
Democratic Republic of Congo,COD,1963,207000
Democratic Republic of Congo,COD,1964,188000
Democratic Republic of Congo,COD,1965,143000
Democratic Republic of Congo,COD,1966,145000
Democratic Republic of Congo,COD,1967,171000
Democratic Republic of Congo,COD,1968,220000
Democratic Republic of Congo,COD,1969,222700
Democratic Republic of Congo,COD,1970,214500
Democratic Republic of Congo,COD,1971,205400
Democratic Republic of Congo,COD,1972,196600
Democratic Republic of Congo,COD,1973,185600
Democratic Republic of Congo,COD,1974,176700
Democratic Republic of Congo,COD,1975,173300
Democratic Republic of Congo,COD,1976,167400
Democratic Republic of Congo,COD,1977,166000
Democratic Republic of Congo,COD,1978,164200
Democratic Republic of Congo,COD,1979,179500
Democratic Republic of Congo,COD,1980,184400
Democratic Republic of Congo,COD,1981,189700
Democratic Republic of Congo,COD,1982,195200
Democratic Republic of Congo,COD,1983,201000
Democratic Republic of Congo,COD,1984,206400
Democratic Republic of Congo,COD,1985,211100
Democratic Republic of Congo,COD,1986,215900
Democratic Republic of Congo,COD,1987,220810
Democratic Republic of Congo,COD,1988,225830
Democratic Republic of Congo,COD,1989,230960
Democratic Republic of Congo,COD,1990,232120
Democratic Republic of Congo,COD,1991,233350
Democratic Republic of Congo,COD,1992,235000
Democratic Republic of Congo,COD,1993,236000
Democratic Republic of Congo,COD,1994,237000
Democratic Republic of Congo,COD,1995,238000
Democratic Republic of Congo,COD,1996,239000
Democratic Republic of Congo,COD,1997,220000
Democratic Republic of Congo,COD,1998,210000
Democratic Republic of Congo,COD,1999,200000
Democratic Republic of Congo,COD,2000,200000
Democratic Republic of Congo,COD,2001,180000
Democratic Republic of Congo,COD,2002,170000
Democratic Republic of Congo,COD,2003,160000
Democratic Republic of Congo,COD,2004,159581
Democratic Republic of Congo,COD,2005,161605
Democratic Republic of Congo,COD,2006,169654
Democratic Republic of Congo,COD,2007,172000
